"name","location.country"
"Alberto Marino","Argentina"
"Albert Ammons","United States"
"Albert King","United States"
"Albert West","Netherlands"
"Albert Pla","Spain"
"Alberto Morselli","Italy"
"Alberto Fortis","Italy"
"Alberto Y Lost Trios Paranoias","United Kingdom"
"Albita","Cuba"
"Albino Superstars","Norway"
"Alceu Valença","Brazil"
"Aldebert","France"
"Alec Baldwin","United States"
"Alec Ounsworth","United States"
"Alecia Elliott","United States"
"Agressor","France"
"Agricantus","Italy"
"Ahmat Kaya","Turkey"
"Ahmet Kaya","Turkey"
"Alyson Reed","United States"
"Alyssa Bernal","United States"
"AM Conspiracy","United States"
"AM Radio","United States"
"AM Kidd","United States"
"Amadeus","Japan"
"Amadou & Mariam","Mali"
"Amalia Mendoza","Mexico"
"Amanda Garrigues","United States"
"Amanda Latona","United States"
"Amanda Lepore","United States"
"Amanda Plummer","United States"
"Amanda Palmer & The Grand Theft Orchestra","United States"
"Amanda Seyfried","United States"
"Albin De La Simone","France"
"Alcatrazz","United States"
"Alcest","France"
"Aldina Duarte","Portugal"
"Alec R. Constandinos","France"
"Aleena","Sweden"
"Alejandro Filio","Mexico"
"Alejandro Escovedo","United States"
"Alejandro Lerner","Argentina"
"Alejandro Sanz","Spain"
"Aleksey","Germany"
"Alerion","Netherlands"
"Alela Diane","Portland"
"Ahriman","Hungary"
"AI","Japan"
"Aidonia","Jamaica"
"Aina","[Worldwide]"
"Ainhoa","Spain"
"Aino Venna","Finland"
"Ainslie Wills","Melbourne"
"Air Miami","United States"
"Air Review","United States"
"Air Traffic","United Kingdom"
"Aleksandras Makejevas","Lithuania"
"Alesia","France"
"Alessandro Casillo","Italy"
"Alessandro Mannarino","Italy"
"Alessio Caraturo","Italy"
"Aletheian","United States"
"Alex Acuña","Peru"
"Alex Anwandter","Chile"
"Amanda Wilson","United Kingdom"
"Amaran","Sweden"
"Amanda Rogers","United States"
"Amari","Italy"
"Amaseffer","Israel"
"Amaury Gutiérrez","Cuba"
"Amaury Pérez","Cuba"
"Ambelique","United Kingdom"
"Amber Bullock","United States"
"Amber Asylum","San Francisco"
"Amber Coffman","United States"
"Amber Rose","United States"
"Amber Rubarth","United States"
"Amberian Dawn","Finland"
"Alessandra Amoroso","Italy"
"Alessandro Grazian","Italy"
"Alessia Cara","Canada"
"Alessio Beltrami","Italy"
"Aleste","Chile"
"Alex Beaupain","France"
"Alex Bugnon","Switzerland"
"Alex Campbell","United Kingdom"
"Alex Cuba","Smithers"
"Alex Gaskarth","United States"
"Alex Hepburn","United Kingdom"
"Alex Klaasen","Netherlands"
"Alex Max Band","United States"
"Alex Brown","United States"
"Alex Butcher","Germany"
"Alex Campos","Colombia"
"Alex Day","United Kingdom"
"Alex H","Knysna"
"Alex Kenji","Italy"
"Alex Lora","Mexico"
"Alex Matos","Dominican Republic"
"Alex Megane","Germany"
"Alex Schulz","Stuttgart"
"Alex Taylor","United Kingdom"
"Alex, Jorge Y Lena","United States"
"Alexa Goddard","United States"
"Alexander (US)","United States"
"Alexander Acha","Mexico"
"Alexander Marcus","Germany"
"Alexander Curly","Netherlands"
"Airbag (NO)","Norway"
"Airliner","Sweden"
"Airport 5","United States"
"Airway Lanes","Melbourne"
"Aistė Pilvelytė","Lithuania"
"Aisling","Italy"
"AJ Michalka","United States"
"Ajico","Japan"
"AK4711","Germany"
"Akala","United Kingdom"
"AKB48","Japan"
"Ambulance LTD","United States"
"Amduscia","Mexico"
"Amel Bent","France"
"Amel Larrieux","United States"
"Amen Corner (BR)","Brazil"
"American Cream Team","United States"
"American Head Charge","United States"
"American Hi-Fi","United States"
"American Pearl","United States"
"American Music Club","United States"
"Amerie","United States"
"Amici Di Maria De Filippi","Italy"
"Amie Comeaux","United States"
"Amil","United States"
"Alexandra Burke","United Kingdom"
"Alexandre Pires","Brazil"
"Alexis & Fido","Puerto Rico"
"Alexkid","Paris"
"Alf Poier","Austria"
"Alf","Sweden"
"Alfie","United Kingdom"
"AKING","South Africa"
"Akitsa","Montreal"
"Akrobatik","United States"
"Aktorių Trio","Lithuania"
"Akurat","Poland"
"Al Anderson","Jamaica"
"Al Atkins","United Kingdom"
"Al Casey","United States"
"Al Cohn","United States"
"Al Corley","United States"
"Al Ghazali","Indonesia"
"Al Grey","United States"
"Al Hibbler","United States"
"Alex Parks","United Kingdom"
"Alex Sintek","Mexico"
"Alex Winston","United States"
"Alexander","Germany"
"Alexa Vega","United States"
"Alexander Ebert","United States"
"Alexandra","Germany"
"Alexandra Lucci","France"
"Alexandrov Ensemble","Russia"
"Alexia","Italy"
"Al Hirt","United States"
"Al Trace","United States"
"Al Tariq","United States"
"Al' Tariq","United States"
"Alabama 3","United Kingdom"
"Alain Chabat","France"
"Alain Bashung","France"
"Alfred Drake","United States"
"Alfred Dorfer","Austria"
"Alfredo Casero","Argentina"
"Alghazanth","Finland"
"Algo Raro Pasa","Argentina"
"Ali & Gipp","United States"
"Ali Campbell","United Kingdom"
"Ali Tabatabaee","United States"
"Alias (US)","United States"
"Alibia","Italy"
"Alice Gold","United Kingdom"
"Alice Cooper","United States"
"Alexis Strum","United Kingdom"
"Alexisonfire","Canada"
"Alexz Johnson","Canada"
"Alfonzo Blackwell","United States"
"Ali (FR)","France"
"Ali","United States"
"Ali Lohan","United States"
"Amir","Italy"
"Ammar Malik","United States"
"Amon Amarth","Sweden"
"Amor Electro","Portugal"
"Amorbital","Humenné"
"Amorphous Androgynous","United Kingdom"
"Amos Milburn","United States"
"Amos Lee","United States"
"Alice Martineau","United Kingdom"
"Alice Ripley","United States"
"Alien","Sweden"
"Alicia Villarreal","Mexico"
"Alien Force","Denmark"
"Alif Tree","France"
"Alin Coen Band","Germany"
"Alina Orlova","Lithuania"
"Aliona Moon","Moldova"
"Alison MacCallum","Australia"
"Alistair Anderson","United Kingdom"
"Aljas Kúszóbab","Hungary"
"Alkaline Trio","United States"
"Alan Dale","United States"
"Alan Doyle","Canada"
"Alan Jones","United Kingdom"
"Alan Jackson","United States"
"Alan O'Day","United States"
"Alan Silvestri","United States"
"Alanïa","Norway"
"Alarmsignal","Germany"
"Amplifier","United Kingdom"
"Amurekimuri","Ukraine"
"Amy Adams","United States"
"Amy Correia","United States"
"Amy Diamond","Sweden"
"Amy Dalley","United States"
"Amy LaVere","United States"
"Amy Pearson","United Kingdom"
"Amy Rigby","United States"
"Alias & Tarsier","United States"
"Alice","Italy"
"Alice Keys","United States"
"Alice In Darkland","Italy"
"Alice Stuart","United States"
"Alicetea","Poland"
"Alicia Bridges","United States"
"Alicia Myers","United States"
"Alicja Janosz","Poland"
"Alien Ant Farm","United States"
"Alien Faktor","United States"
"Alina","Germany"
"Alina Baraz","United States"
"Alina Lieske","Germany"
"Alkonost","Russia"
"All Bandits","Poland"
"All Day Long","Latvia"
"All City","United States"
"All Ends","Sweden"
"All Living Fear","United Kingdom"
"All Out","United States"
"All Saints","United Kingdom"
"Aliotta Haynes Jeremiah","United States"
"Aline Barros","Rio de Janeiro"
"Alison Brown","United States"
"Alison Krauss & Union Station","United States"
"Alister","France"
"Alivaltiosihteeri","Finland"
"Alizée","France"
"Amy Studt","United Kingdom"
"Amyst","United States"
"Amélie-Les-Crayons","France"
"An Albatross","United States"
"Ana","United States"
"An Pierlé","Belgium"
"Albert Cummings","United States"
"Albert One","Italy"
"Albert Préjean","France"
"Albertina Walker","United States"
"Alberto Castillo","Argentina"
"Alberto Cereijo","Spain"
"Alberto Camerini","Italy"
"Albertucho","Spain"
"Alchemist Project","Poland"
"Alchemist","Australia"
"Ana Egge","United States"
"Ana Carolina","Brazil"
"Ana Laura","United States"
"Ana Johnsson","Sweden"
"Ana Popovic","Serbia"
"Ana Sofia Varela","Portugal"
"Ana Tijoux","Chile"
"All Star United","United States"
"All Them Witches","United States"
"All Time Low","United States"
"All-Time Quarterback","United States"
"Allan Holdsworth","United Kingdom"
"Allan Sherman","United States"
"Aldo Donà","Italy"
"Aldo Nova","Canada"
"Aleah","South Africa"
"Alec Empire","Germany"
"Alecia Nugent","United States"
"Alejandro Balbis","Uruguay"
"Alejandro Saenz","Spain"
"Aleks Syntek","Mexico"
"Alert The Medic","Canada"
"Alesha Dixon","United Kingdom"
"Alkatraz","Poland"
"Alkbottle","Wien"
"ALL","United States"
"All Dogs","Columbus"
"Alkehol","Czech Republic"
"Ana Torroja","Spain"
"Anabela","Portugal"
"AnachroniA","France"
"Anadivine","United States"
"Anaemia","Sweden"
"Anagnorisis","United States"
"Anakron","Hungary"
"Anajo","Germany"
"Anal Blasphemy","Finland"
"Analena","United States"
"Analgesia","Morocco"
"Analog","Poland"
"Analogik","Denmark"
"Analoq","United States"
"Anamu & Maki","Japan"
"Allegro (IT)","Italy"
"Allekirjoittanut","Finland"
"Allen Covert","United States"
"Allen Ginsberg","United States"
"Allen Stone","United States"
"Alley Life","United States"
"Alli Simpson","Australia"
"Allie X","Los Angeles"
"Allisson Lozano","Mexico"
"Allison Moorer","United States"
"Allyptic","United States"
"Alesana","Raleigh"
"Alessi's Ark","United Kingdom"
"Alessi Brothers","United States"
"Alestorm","United Kingdom"
"Alex (NL)","Netherlands"
"Alex Band","United States"
"Alex Bianchi","France"
"Alex Britti","Italy"
"All Left Out","New Zealand"
"All Natural","United States"
"All Star","United States"
"All Systems Go!","Canada"
"All That Remains","United States"
"All Too Human","Corpus Christi"
"All-4-One","United States"
"Alla Bua","Italy"
"Allan Jones","United States"
"Allegiance","Sweden"
"Anarkhon","Brazil"
"Anarion","Melbourne"
"Anarchy Club","United States"
"Anastezia","Russia"
"Anastacia","United States"
"Anathema","United Kingdom"
"Anathematize","United Kingdom"
"Anatolian Wisdom","Canada"
"Anatomy Of A Ghost","United States"
"Anatomy","Australia"
"Almah","Brazil"
"Almendra","Argentina"
"Almir Sater","Brazil"
"Almôra","Turkey"
"Aloke","United States"
"Alpha Blondy","Nzi-Comoé (Région)"
"Allegro","Brazil"
"Allen - Lande","Sweden"
"Allergy","Bonn"
"Allerseelen","Austria"
"Alli With An I","United States"
"Allie Moss","United States"
"Allison Iraheta","United States"
"Allschwil Posse","Switzerland"
"Allstars","United Kingdom"
"Alma Cogan","United Kingdom"
"Almadrava","Spain"
"Almir Guineto","Brazil"
"Almost Saint","Hungary"
"Alex Clare","United Kingdom"
"Alex Goot","United States"
"Alex Harvey","United Kingdom"
"Alex Lifeson","Canada"
"Alex Metric","United Kingdom"
"Alexander Ryback","Norway"
"Alexandra (PT)","Portugal"
"Alexander O'Neal","Minneapolis"
"Alexandra Joner","Norway"
"Alexandra Sran","Romania"
"Alpay","Turkey"
"Alpha Boy School","Germany"
"Alpha Ville","Germany"
"Alphabeat","Italy"
"Alpinekat","United States"
"Alpine","Australia"
"Also","Germany"
"Altar Of Giallo","Spain"
"Alter Ego","Germany"
"Alterkicks","United Kingdom"
"Althea & Donna","Jamaica"
"Altorių Šešėliai","Lithuania"
"Alux Nahual","Guatemala"
"Alva Leigh","United Kingdom"
"Alvin Robinson","United States"
"Alvvays","Canada"
"Anatrofobia","Italy"
"Anaïs (Régine Hantelle)","France"
"Anaïs Delva","France"
"Anavae","United Kingdom"
"Ancara","Finland"
"Anaïs Mitchell","United States"
"Ancestors","United States"
"Ancestral Legacy","Norway"
"Anchor & Braille","United States"
"Ancient Ceremony","Germany"
"Alphawezen","Germany"
"Alphonse Brown","France"
"Alquin","Netherlands"
"Alta Moda","Canada"
"Altar (RO)","Romania"
"Altaria","Finland"
"Alter Bridge","United States"
"Alternosfera","Moldova"
"Altiyan Childs","Australia"
"AlunaGeorge","United Kingdom"
"Alexandre Desplat","France"
"Alexis Korner","United Kingdom"
"Alfie Boe","United Kingdom"
"Alfredo Kraus","Spain"
"Algebra","United States"
"Ali B","Netherlands"
"Ali Love","United Kingdom"
"Ali Project","Japan"
"Alvin És A Mókusok","Hungary"
"Aly-Us","United States"
"Alyosha","Ukraine"
"Alys Robi","Quebec"
"Alüto","Japan"
"Am I Blood","Finland"
"Amaal Mallik","India"
"Amaia Montero","Spain"
"Amalgama (RU)","Russia"
"Amanda Blank","United States"
"Alvaro","Netherlands"
"Alusa Fallax","Italy"
"Alunni Del Sole","Italy"
"Alvin Slaughter","United States"
"Alvin Youngblood Hart","United States"
"Alvin Stardust","United Kingdom"
"Alyson Stoner","United States"
"Alyssa Milano","United States"
"Am2pm","Germany"
"AM Taxi","Chicago"
"Ancient Prophecy","Germany"
"Ancient Rites","Belgium"
"Ancient Wisdom","Sweden"
"Andain","United States"
"Andaja","Lithuania"
"Andando Descalzo","Argentina"
"Anden","Denmark"
"Anders Fernette","Sweden"
"Anders F Rönnblom","Sweden"
"Alice & Ellen Kessler","Germany"
"Alice Faye","United States"
"Alice In Videoland","Sweden"
"Alice N' Chains","United States"
"Alice Russell","United Kingdom"
"Alicia","Italy"
"Alicia Keys","United States"
"Alien Crime Syndicate","United States"
"Alien Sex Fiend","United Kingdom"
"Alien Vampires","London"
"Amanda (SE)","Sweden"
"Amanda Lear","France"
"Amanda Martinez","Canada"
"Amanda Marshall","Canada"
"Amanda Shaw","United States"
"Amanda Somerville","United States"
"Amanda Shires","United States"
"Amanda Woodward","France"
"Amaral","Spain"
"Amarionette","Las Vegas"
"Amaury Vassili","France"
"Amateur Transplants","United Kingdom"
"Amanda Brown","United States"
"Amanda Abizaid","Lebanon"
"Amanda Ghost","United Kingdom"
"Amanda McBroom","United States"
"Amanda Palmer","United States"
"Amanda Perez","United States"
"Amanda Wilkinson","Canada"
"Amandine Bourgeois","France"
"Amandititita","Mexico"
"Amaranthine Trampler","United Kingdom"
"Amaranthe","Sweden"
"Amason","Stockholm municipality"
"Amatris","Schleswig-Holstein"
"Alih Jey","Dominican Republic"
"Alina Devecerski","Sweden"
"Alioth","Poland"
"Alisha's Attic","United Kingdom"
"Alison Limerick","United Kingdom"
"Alison Krauss","United States"
"Alka Yagnik","India"
"All About Chad","United States"
"All Faces Down","Austria"
"All Mankind","Australia"
"Amazulu","United Kingdom"
"Amba Shepherd","Australia"
"Ambeon","Netherlands"
"Amber Pacific","United States"
"Ambra Angiolini","Italy"
"Amedeo Minghi","Italy"
"Anders Manga","United States"
"Anderson Bruford Wakeman Howe","United Kingdom"
"Andi Deris","Germany"
"Andra Day","United States"
"Andralls","Brazil"
"Andras","Germany"
"Andramelech","Mexico"
"Andre Brasseur","Belgium"
"Andrea","Italy"
"Andre Previn & His Orchestra","United States"
"Andre Nickatina","United States"
"Amazarashi","Japan"
"Amazing Baby","United States"
"Amazarak","France"
"Amazing Blondel","United Kingdom"
"Amazing Crowns","United States"
"Amazing Stroopwafels","Netherlands"
"Amazon","Brazil"
"Amber","Netherlands"
"Amber Lawrence","Australia"
"Amber Run","United Kingdom"
"Amebix","United Kingdom"
"Amee & Melly Goeslaw","Indonesia"
"Ameeba","Finland"
"Amelle Berrabah","United Kingdom"
"Amelia Lily","United Kingdom"
"America","United States"
"American Bang","United States"
"American Football","United States"
"American Juniors","United States"
"American Tragedy","United States"
"Amethystium","Norway"
"All My Faith Lost ...","Italy"
"All Sons & Daughters","United States"
"All The Ashes","Germany"
"All Too Much","United States"
"Allah-Las","United States"
"Allan Harris","United States"
"Allan Edwall","Sweden"
"Alle Farben","Germany"
"Allegaeon","United States"
"Allen Anthony","United States"
"Allen Toussaint","United States"
"Amen (PE)","Peru"
"Amen Corner","United Kingdom"
"American Werewolves","United States"
"Amethista","Italy"
"AMG","United States"
"Amesoeurs","France"
"Amina","Tunisia"
"Amii Stewart","United States"
"Amit Trivedi","India"
"Amit Mishra","India"
"Amira Willighagen","Nijmegen"
"Amity Lane","United States"
"Andrea Bocelli","Italy"
"Andrea Chimenti","Italy"
"Andrea Corr","Ireland"
"Andrea Echeverri","Colombia"
"Andrea Jürgens","Germany"
"Alley Boy","United States"
"Alliance Ethnik","France"
"Alligatoah","Germany"
"Allison Crowe","Canada"
"Allister","United States"
"Andrea Lindsay","Quebec"
"Andrea Marcovicci","United States"
"Andrea Martin","United States"
"Andrea McArdle","United States"
"Andrea Mingardi","Italy"
"Andrea Mirò","Italy"
"Andrea Parodi","Italy"
"Andrea Ra","Italy"
"Andrea True Connection","United States"
"Andrea Ross","United States"
"Andrea Parker","United Kingdom"
"Andreas Gabalier","Austria"
"Andreas Grega","Sweden"
"Andreas Kümmert","Germany"
"Andreas Martin","Germany"
"Andreas Dorau","Germany"
"Andreas Bourani","Germany"
"Andreas Moe","Sweden"
"Andreas Pettersson","Sweden"
"Andreas Vollenweider","Switzerland"
"Amie Miriello","United States"
"Aminion","United States"
"Amistades Peligrosas","Spain"
"Amity In Fame","Linz"
"Amoebic Dysentery","United States"
"Ammonia","Australia"
"Amon Düül","Germany"
"Amos","Brazil"
"Amos Garrett","Canada"
"Amparanoia","Spain"
"Ampere","United States"
"Amplified","Japan"
"AmpLive","California"
"Amputated Genitals","Colombia"
"Amon Tobin","Brazil"
"Amon Düül II","Germany"
"Amore","Italy"
"Allstar Weekend","United States"
"Alma Y Vida","Argentina"
"Almighty","United States"
"Aloe Blacc","United States"
"Aloha","United States"
"Aloy","Spain"
"Alpha Omega","Sweden"
"Alphataurus","Italy"
"Andreas Scholl","Germany"
"Andreas Johnson","Sweden"
"Andreena Mill","Canada"
"Andrew Bayer","United States"
"Andrew Allen","Canada"
"Andrew Belle","United States"
"Andrew Bird","United States"
"Andrew Cronshaw","United Kingdom"
"Alpinestars","United Kingdom"
"Alt-J","Leeds"
"Altar","Netherlands"
"Altar Of Oblivion","Denmark"
"Altar Of Plagues","Ireland"
"Altan","Ireland"
"Alternate Learning","Davis"
"Alternative TV","United Kingdom"
"Alton Ellis","Jamaica"
"Altro","Italy"
"Alto Voltaje","Cuba"
"Alucard","United States"
"Alvaro Amici","Italy"
"Andrew E.","Philippines"
"Andrew Duplantis & The Unfaithfuls","United States"
"Andrew","United States"
"Andrew Garcia","United States"
"Andrew Gold","United States"
"Andrew Iafrate","United States"
"Andrew Kenny","United States"
"Andrew Huang","Canada"
"Andrew Jackson Jihad","United States"
"Alvin Lucier","United States"
